fleet_id,record_type,timestamp,elapsed_time,trigger_channel,peak_valley_indicator,strain_gauge_1,strain_gauge_2,strain_gauge_3,strain_gauge_4,strain_gauge_5,strain_gauge_6,strain_gauge_7,strain_gauge_8,roll_acceleration,vertical_acceleration,airspeed,pressure_altitude,flap_position,elevator_position,left_aileron_position,retardant_tank_float,retardant_door_open,beacon_start_stop_recording,arm_retardant_tank_door,gear_up_and_locked,flight_id
11,PE,52:02.2,164.18,,,-11.84,-5.92,-20.73,-14.81,-8.88,-8.88,5.92,8.88,-0.87,1,53.93,1129.3,-0.01,-7.33,0.45,-5.26,1,1,0,0,101
12,PE,52:17.2,179.18,,,-8.88,0,-20.73,-8.88,-5.92,-8.88,5.92,5.92,-0.88,0.99,53.93,1019.92,0.01,-7.33,0.48,-2.11,1,1,0,0,101
13,PE,52:32.2,194.18,,,-11.84,2.96,-17.77,-11.84,-5.92,-8.88,0,0,-0.88,1,54.2,1047.27,-0.01,-7.33,0.42,-5.26,1,1,0,0,101
14,PE,52:47.2,209.18,,,-2.96,11.84,-20.73,-8.88,-2.96,-8.88,-5.92,-8.88,-0.88,1.01,54.2,1047.27,0.01,-7.36,0.42,-5.26,1,1,0,0,101
15,PE,53:02.2,224.18,,,-2.96,14.81,-20.73,-2.96,0,-8.88,-8.88,-11.84,-0.88,0.99,54.48,1129.3,0.01,-7.36,0.45,-6.83,1,1,0,0,101
16,PE,53:17.2,239.18,,,-2.96,17.77,-17.77,-2.96,2.96,-8.88,-11.84,-14.81,-0.88,1,54.2,1047.27,0.01,-7.31,0.45,-5.26,1,1,0,0,101
17,PE,53:32.2,254.18,,,-8.88,17.77,-20.73,-2.96,8.88,-8.88,-11.84,-17.77,-0.87,1.01,53.65,1047.27,0.03,-7.31,0.48,-5.26,1,1,0,0,101
18,PE,53:47.2,269.18,,,-8.88,26.65,-20.73,-2.96,5.92,-8.88,-17.77,-17.77,-0.9,1,54.75,1074.61,-0.01,-7.31,0.39,-5.26,1,1,0,0,101
19,PE,54:02.2,284.18,,,-5.92,26.65,-20.73,2.96,8.88,-8.88,-20.73,-20.73,-0.87,1,54.48,1019.92,0,-7.31,0.45,-6.83,1,1,0,0,101
20,PE,54:17.2,299.18,,,-2.96,20.73,-17.77,5.92,11.84,-8.88,-23.69,-20.73,-0.89,1,54.75,1047.27,-0.01,-7.36,0.42,-3.68,1,1,0,0,101
21,PE,54:32.2,314.18,,,-5.92,26.65,-17.77,2.96,11.84,-5.92,-23.69,-20.73,-0.88,1.01,53.65,1074.61,0.03,-7.33,0.54,-5.26,1,1,0,0,101
22,PE,54:47.2,329.18,,,-2.96,29.61,-20.73,5.92,11.84,-8.88,-23.69,-20.73,-0.89,1.01,54.2,1074.61,0,-7.33,0.48,-5.26,1,1,0,0,101
23,PE,55:02.2,344.18,,,-8.88,29.61,-14.81,2.96,14.81,-2.96,-23.69,-20.73,-0.88,1.01,53.93,1019.92,-0.01,-7.26,0.45,-2.11,1,1,0,0,101
24,PE,55:17.2,359.18,,,-2.96,29.61,-14.81,5.92,14.81,-5.92,-23.69,-20.73,-0.87,1.01,54.48,1019.92,0.03,-7.33,0.45,-3.68,1,1,0,0,101
25,PE,55:32.2,374.18,,,0,29.61,-17.77,5.92,14.81,-2.96,-23.69,-17.77,-0.88,1.01,53.93,1129.3,0,-7.28,0.48,-6.83,1,1,0,0,101
26,PE,55:47.2,389.18,,,-5.92,29.61,-14.81,8.88,17.77,-5.92,-26.65,-17.77,-0.9,1,54.2,1047.27,-0.01,-7.31,0.45,-6.83,1,1,0,0,101
27,PE,56:02.2,404.18,,,-2.96,32.57,-17.77,8.88,23.69,-5.92,-26.65,-17.77,-0.84,1,54.75,1074.61,0.03,-7.31,0.42,-5.26,1,1,0,0,101
28,PE,56:17.2,419.18,,,-2.96,29.61,-23.69,20.73,26.65,-2.96,-20.73,-20.73,-0.87,0.99,54.48,1019.92,0,-7.33,0.48,-3.68,1,1,0,0,101
29,PE,56:32.2,434.18,,,-2.96,26.65,-20.73,20.73,26.65,-5.92,-23.69,-14.81,-0.9,0.99,53.93,965.23,-0.01,-7.33,0.42,-5.26,1,1,0,0,101
30,PE,56:47.2,449.18,,,-2.96,14.81,-23.69,23.69,23.69,-2.96,-23.69,-14.81,-0.91,1.01,53.93,1047.27,0,-7.33,0.39,-5.26,0,1,0,0,101
31,PE,57:02.2,464.18,,,-5.92,8.88,-23.69,17.77,23.69,-2.96,-23.69,-14.81,-0.86,1,54.48,992.58,0,-7.36,0.51,-5.26,0,1,0,0,101
32,PE,57:17.2,479.18,,,-2.96,11.84,-29.61,14.81,20.73,0,-17.77,-11.84,-0.9,1,54.75,992.58,0,-7.33,0.51,-0.54,0,1,0,0,101
33,PE,57:32.2,494.18,,,0,0,-23.69,14.81,20.73,2.96,-23.69,-8.88,-0.91,1.02,54.2,1047.27,0,-7.36,0.48,365.7,0,1,0,0,101
34,PE,57:47.2,509.18,,,2.96,-5.92,-17.77,14.81,20.73,5.92,-20.73,-8.88,-0.89,1.01,53.38,1074.61,0.01,-7.33,0.54,604.63,0,1,0,0,101
35,PE,58:02.2,524.18,,,8.88,-11.84,-5.92,23.69,20.73,8.88,-20.73,-8.88,-0.85,1.01,53.38,1047.27,-0.03,-7.33,0.48,807.4,0,1,0,0,101
36,PE,58:17.2,539.18,,,11.84,-17.77,0,32.57,26.65,11.84,-17.77,-8.88,-0.84,0.99,53.38,1019.92,0.01,-7.36,0.51,988.16,0,1,0,0,101
37,PE,58:32.2,554.18,,,17.77,-17.77,5.92,29.61,23.69,17.77,-17.77,-8.88,-0.89,1,53.93,1047.27,-0.01,-7.33,0.48,1150.06,0,1,0,0,101
38,PE,58:47.2,569.18,,,26.65,-17.77,14.81,32.57,29.61,20.73,-23.69,-8.88,-0.84,1.01,53.38,1047.27,0.03,-7.33,0.48,1302.53,0,1,0,0,101
39,PE,59:02.2,584.18,,,29.61,-17.77,14.81,35.53,29.61,23.69,-17.77,-8.88,-0.87,1,53.93,1019.92,0.01,-7.31,0.45,1445.57,0,1,0,0,101
40,PE,59:17.2,599.18,,,35.53,-23.69,17.77,35.53,29.61,26.65,-20.73,-14.81,-0.86,1,53.65,1019.92,0,-7.28,0.42,1580.75,0,1,0,0,101
41,PE,59:32.2,614.18,,,35.53,-26.65,32.57,32.57,32.57,38.5,-17.77,-8.88,-0.88,1,53.93,1047.27,0,-7.31,0.45,1704.93,0,1,0,0,101
42,PE,59:47.2,629.18,,,47.38,-26.65,32.57,32.57,35.53,41.46,-23.69,-14.81,-0.87,0.99,53.65,1129.3,0,-7.28,0.42,1830.68,0,1,0,0,101
43,PE,00:02.2,644.18,,,53.3,-35.53,44.42,35.53,32.57,44.42,-20.73,-11.84,-0.86,1.01,53.38,1019.92,0,-7.31,0.42,1950.14,0,1,0,0,101
44,PE,00:17.2,659.18,,,56.26,-41.46,50.34,32.57,32.57,47.38,-23.69,-11.84,-0.87,1,53.93,1074.61,-0.01,-7.31,0.42,2071.17,0,1,0,0,101
45,PE,00:32.2,674.18,,,56.26,-47.38,59.22,17.77,32.57,53.3,-17.77,-8.88,-0.88,0.99,53.65,965.23,0,-7.33,0.42,2182.77,0,1,0,0,101
46,PE,00:47.2,689.18,,,65.15,-35.53,53.3,8.88,29.61,59.22,-17.77,-11.84,-0.91,1,54.2,1019.92,0,-7.31,0.36,2291.23,0,1,0,0,101
47,PE,01:02.2,704.18,,,71.07,-41.46,59.22,8.88,32.57,59.22,-23.69,-11.84,-0.86,1.01,53.65,1019.92,0,-7.31,0.42,2401.26,0,1,0,0,101
48,PE,01:17.2,719.18,,,74.03,-59.22,71.07,2.96,32.57,68.11,-29.61,-14.81,-0.89,1.01,53.65,1156.64,-0.03,-7.36,0.42,2509.72,0,1,0,0,101
49,PE,01:32.2,734.18,,,76.99,-50.34,71.07,-2.96,32.57,65.15,-32.57,-17.77,-0.91,1,54.48,1074.61,0.01,-7.31,0.42,2611.89,0,1,0,0,101
50,PE,01:47.2,749.18,,,85.87,-65.15,71.07,2.96,35.53,71.07,-32.57,-20.73,-0.89,1.01,53.38,1047.27,-0.01,-7.36,0.42,2718.78,0,1,0,0,101
51,PE,02:02.2,764.18,,,88.84,-65.15,82.91,0,29.61,76.99,-29.61,-20.73,-0.89,1.01,53.93,1019.92,0,-7.31,0.42,2830.38,0,1,0,0,101
52,PE,02:17.2,779.18,,,85.87,-65.15,82.91,-2.96,38.5,79.95,-35.53,-23.69,-0.88,1.01,53.38,1074.61,0,-7.33,0.48,2852.39,0,1,0,0,101
53,PE,02:32.2,794.18,,,91.8,-59.22,79.95,-2.96,29.61,76.99,-26.65,-17.77,-0.85,1.01,53.93,1019.92,0,-7.31,0.45,2855.53,0,1,0,0,101
54,PE,02:47.2,809.18,,,88.84,-65.15,88.84,0,32.57,79.95,-35.53,-20.73,-0.88,1,53.93,1074.61,0,-7.38,0.45,2850.81,0,1,0,0,101
55,PE,03:02.2,824.18,,,97.72,-65.15,85.87,-11.84,29.61,82.91,-41.46,-17.77,-0.79,1.02,55.58,1074.61,19.79,-7.33,0.36,2838.24,0,1,0,0,101
56,TR,03:11.6,833.64,10,P,124.37,-85.87,100.68,-2.96,32.57,79.95,-35.53,-17.77,-1.14,1.07,53.93,1074.61,19.79,-7.38,0.36,2759.65,0,1,0,0,101
57,PE,03:17.2,839.18,,,115.49,-82.91,91.8,-2.96,32.57,76.99,-53.3,-20.73,-1.02,1.03,53.93,1074.61,19.79,-7.41,0.33,2791.08,0,1,0,0,101
58,PE,03:32.2,854.18,,,106.6,-88.84,97.72,-2.96,41.46,82.91,0,-11.84,-0.71,1.01,54.48,1129.3,19.79,-7.28,0.42,2792.65,0,1,0,0,101
59,PE,03:47.2,869.18,,,88.84,-71.07,79.95,-26.65,29.61,74.03,0,11.84,-0.99,1.01,54.2,1074.61,19.79,-7.31,0.36,2816.23,0,1,0,0,101
60,PE,04:02.2,884.18,,,85.87,-71.07,85.87,-11.84,53.3,71.07,0,29.61,-0.94,1,54.75,1019.92,19.81,-7.28,0.36,2765.93,0,1,0,0,101
61,TR,04:04.7,886.74,10,V,82.91,-74.03,85.87,-5.92,56.26,68.11,0,23.69,-0.97,0.93,54.2,1047.27,19.79,-7.31,0.42,2767.5,0,1,0,0,101
62,PE,04:17.2,899.18,,,82.91,-74.03,79.95,-11.84,50.34,88.84,0,26.65,-0.91,1,54.2,1074.61,19.79,-7.33,0.45,2759.65,0,1,0,0,101
63,PE,04:32.2,914.18,,,112.53,-82.91,94.76,-2.96,56.26,74.03,11.84,26.65,-1.09,0.98,54.48,1019.92,19.77,-7.33,0.42,2750.21,0,1,0,0,101
64,TR,04:32.3,914.29,10,P,106.6,-88.84,94.76,-17.77,41.46,76.99,11.84,14.81,-1.34,1.1,54.48,1101.95,19.78,-7.36,0.42,2747.07,0,1,0,0,101
65,TR,04:34.8,916.84,10,V,91.8,-65.15,71.07,-11.84,50.34,76.99,-11.84,29.61,-0.77,0.93,54.48,1129.3,19.79,-7.43,0.42,2751.79,0,1,0,0,101
66,TR,04:35.3,917.29,10,P,106.6,-76.99,88.84,0,50.34,100.68,14.81,26.65,-0.83,1.05,54.2,1019.92,19.77,-7.41,0.45,2739.21,0,1,0,0,101
67,TR,04:35.8,917.76,10,V,85.87,-71.07,76.99,-2.96,62.19,62.19,-29.61,23.69,-0.83,0.91,54.48,1156.64,19.79,-7.36,0.42,2750.21,0,1,0,0,101
68,TR,04:35.9,917.86,10,P,76.99,-71.07,88.84,-11.84,47.38,76.99,0,23.69,-0.97,1.1,54.48,1019.92,19.77,-7.33,0.42,2751.79,0,1,0,0,101
69,TR,04:35.9,917.89,10,V,88.84,-82.91,97.72,-26.65,44.42,85.87,-32.57,35.53,-0.97,0.92,54.2,1156.64,19.79,-7.36,0.42,2748.64,0,1,0,0,101
70,TR,04:35.9,917.94,10,P,103.64,-94.76,112.53,2.96,59.22,85.87,-29.61,5.92,-1.38,1.16,54.2,992.58,19.79,-7.33,0.42,2754.93,0,1,0,0,101
71,TR,04:36.0,917.96,10,V,106.6,-74.03,97.72,5.92,76.99,79.95,-5.92,20.73,-1,0.94,55.03,1074.61,19.79,-7.31,0.36,2753.36,0,1,0,0,101
72,TR,04:36.0,918.01,10,P,121.41,-97.72,112.53,-8.88,35.53,94.76,5.92,23.69,-1.24,1.24,54.48,1074.61,19.79,-7.36,0.42,2748.64,0,1,0,0,101
73,TR,04:36.0,918.04,10,V,103.64,-94.76,118.45,-32.57,32.57,100.68,-17.77,20.73,-0.9,0.94,54.48,1047.27,19.79,-7.36,0.51,2747.07,0,1,0,0,101
74,TR,04:36.1,918.06,10,P,94.76,-97.72,112.53,-14.81,44.42,103.64,-29.61,23.69,-0.9,1.1,53.65,1101.95,19.79,-7.38,0.48,2747.07,0,1,0,0,101
75,TR,04:36.1,918.11,10,V,85.87,-71.07,88.84,-5.92,65.15,82.91,-23.69,35.53,-0.97,0.9,54.48,1047.27,19.79,-7.26,0.42,2745.5,0,1,0,0,101
76,TR,04:36.1,918.14,10,P,112.53,-71.07,82.91,-14.81,26.65,82.91,11.84,26.65,-0.72,1.08,54.48,1074.61,19.77,-7.28,0.36,2743.93,0,1,0,0,101
77,TR,04:36.2,918.19,10,V,91.8,-85.87,100.68,-11.84,50.34,76.99,-8.88,17.77,-0.89,0.89,54.48,1019.92,19.79,-7.31,0.45,2739.21,0,1,0,0,101
78,TR,04:36.2,918.21,10,P,97.72,-88.84,97.72,0,62.19,85.87,-35.53,14.81,-0.73,1.05,54.48,1101.95,19.77,-7.38,0.42,2740.78,0,1,0,0,101
79,TR,04:36.3,918.34,10,V,100.68,-94.76,106.6,-2.96,62.19,85.87,-47.38,26.65,-0.71,0.92,54.2,1129.3,19.81,-7.33,0.42,2748.64,0,1,0,0,101
80,TR,04:36.4,918.36,10,P,109.56,-94.76,100.68,5.92,56.26,85.87,-41.46,14.81,-0.78,1,54.48,1101.95,19.81,-7.31,0.42,2751.79,0,1,0,0,101
81,TR,04:36.4,918.41,10,V,109.56,-76.99,85.87,0,50.34,88.84,26.65,20.73,-0.86,0.91,54.2,1074.61,19.79,-7.28,0.42,2750.21,0,1,0,0,101
82,TR,04:37.0,919.01,10,P,106.6,-94.76,103.64,0,59.22,82.91,-11.84,32.57,-1,1.1,53.93,1101.95,19.79,-7.28,0.45,2742.35,0,1,0,0,101
83,TR,04:38.0,920.04,10,V,106.6,-88.84,100.68,-8.88,59.22,79.95,-32.57,32.57,-0.95,0.94,55.03,1074.61,19.81,-7.31,0.48,2748.64,0,1,0,0,101
84,TR,04:41.4,923.44,10,P,97.72,-82.91,100.68,-8.88,50.34,97.72,-8.88,35.53,-1.12,1.1,54.75,1047.27,19.79,-7.31,0.42,2737.64,0,1,0,0,101
85,TR,04:46.0,927.96,10,V,106.6,-94.76,97.72,-2.96,47.38,88.84,-17.77,29.61,-0.83,0.93,55.58,965.23,19.79,-7.38,0.42,2750.21,0,1,0,0,101
86,PE,04:47.2,929.18,,,85.87,-82.91,97.72,0,53.3,97.72,-5.92,38.5,-0.94,1.02,55.58,1019.92,19.79,-7.31,0.42,2756.5,0,1,0,0,101
87,TR,04:47.3,929.34,10,P,97.72,-82.91,94.76,-14.81,35.53,106.6,-23.69,35.53,-0.87,1.1,55.58,1074.61,19.78,-7.38,0.42,2747.07,0,1,0,0,101
88,TR,04:47.7,929.74,10,V,103.64,-97.72,106.6,8.88,56.26,97.72,-5.92,41.46,-0.78,0.95,55.58,1019.92,19.79,-7.41,0.42,2754.93,0,1,0,0,101
89,TR,04:48.1,930.09,10,P,109.56,-97.72,112.53,-5.92,47.38,79.95,-17.77,26.65,-0.9,1.1,55.58,1101.95,19.79,-7.28,0.42,2743.93,0,1,0,0,101
90,TR,04:48.5,930.54,10,V,103.64,-94.76,94.76,2.96,47.38,85.87,11.84,35.53,-0.93,0.9,55.58,1019.92,19.79,-7.38,0.36,2776.94,0,1,0,0,101
91,TR,04:48.9,930.94,10,P,103.64,-94.76,106.6,2.96,47.38,88.84,-5.92,32.57,-0.9,1.08,55.58,1047.27,19.79,-7.38,0.45,2736.07,0,1,0,0,101
92,TR,04:51.4,933.39,10,V,82.91,-88.84,91.8,2.96,50.34,85.87,-8.88,29.61,-0.78,0.93,55.58,992.58,19.77,-7.28,0.42,2765.93,0,1,0,0,101
93,TR,04:52.4,934.44,10,P,94.76,-88.84,97.72,-2.96,50.34,91.8,-5.92,47.38,-0.99,1.06,55.58,1047.27,19.81,-7.36,0.48,2754.93,0,1,0,0,101
94,PE,05:02.2,944.18,,,94.76,-94.76,97.72,-5.92,44.42,94.76,-5.92,41.46,-0.74,1.02,55.58,1047.27,19.79,-7.31,0.45,2751.79,0,1,0,0,101
95,PE,05:17.2,959.18,,,115.49,-106.6,109.56,2.96,44.42,76.99,-17.77,32.57,-0.95,0.98,55.58,1047.27,19.79,-7.36,0.42,2765.93,0,1,0,0,101
96,TR,05:20.7,962.71,10,V,100.68,-85.87,94.76,-2.96,41.46,88.84,14.81,41.46,-0.95,0.91,55.03,1101.95,19.78,-7.31,0.42,2747.07,0,1,0,0,101
97,PE,05:32.2,974.18,,,91.8,-82.91,94.76,-14.81,32.57,79.95,0,44.42,-0.79,0.99,54.75,1074.61,19.79,-7.31,0.42,2772.22,0,1,0,0,101
98,TR,05:45.0,986.99,10,P,177.67,-100.68,103.64,11.84,50.34,32.57,0,20.73,-1.7,1.08,54.48,1047.27,19.79,-7.36,0.42,2666.91,0,1,0,0,101
99,PE,05:47.2,989.18,,,139.18,-94.76,103.64,-11.84,38.5,41.46,5.92,23.69,-1.62,0.97,54.48,1047.27,19.79,-7.31,0.42,2649.62,0,1,0,0,101
100,PE,06:02.2,1004.18,,,127.33,-88.84,103.64,-11.84,41.46,65.15,5.92,26.65,-1.23,1.03,52.55,1047.27,19.81,-7.38,0.36,2715.63,0,1,0,0,101
101,PE,06:17.2,1019.18,,,127.33,-79.95,91.8,-2.96,38.5,65.15,17.77,26.65,-1.11,1,54.48,1129.3,19.79,3.88,-2.99,2731.35,0,1,0,0,101
102,PE,06:32.2,1034.18,,,97.72,-32.57,56.26,-8.88,35.53,56.26,-11.84,35.53,-0.9,0.98,45.94,1074.61,19.79,3.96,-0.84,2797.37,0,1,0,0,101
103,TR,06:38.8,1040.76,10,V,74.03,-50.34,71.07,-17.77,29.61,82.91,17.77,65.15,-1.03,0.93,36.86,1156.64,19.77,3.93,-0.03,2819.38,0,1,0,0,101
104,TR,06:39.5,1041.54,10,P,85.87,-65.15,94.76,-11.84,32.57,74.03,20.73,41.46,-0.93,1.08,36.03,1156.64,19.79,3.76,-0.03,2809.94,0,1,0,0,101
105,TR,06:43.0,1045.01,10,V,118.45,-26.65,38.5,-14.81,29.61,62.19,35.53,20.73,-0.81,0.93,39.06,1183.98,19.75,3.93,-0.12,2775.36,0,1,0,0,101
106,PE,06:47.2,1049.18,,,124.37,-97.72,124.37,-26.65,23.69,79.95,-47.38,53.3,-1.17,1.03,50.62,1101.95,19.77,4.01,0.48,2681.05,0,1,0,0,101
107,TR,06:53.3,1055.31,10,P,148.06,-127.33,151.02,-14.81,20.73,85.87,17.77,44.42,-1.17,1.12,59.43,1129.3,19.79,3.65,0.96,2830.38,0,1,0,0,101
108,TR,06:53.4,1055.41,10,V,151.02,-130.29,148.06,-8.88,44.42,91.8,-97.72,50.34,-1.25,0.93,55.58,1047.27,19.81,3.78,0.96,2825.66,0,1,0,0,101
109,TR,06:58.7,1060.69,10,P,168.79,-165.83,174.71,29.61,65.15,112.53,5.92,11.84,-1.09,1.08,76.51,1129.3,19.77,1.94,0.72,2805.23,0,1,0,0,101
110,TR,06:58.8,1060.79,10,V,168.79,-142.14,156.94,29.61,68.11,100.68,-11.84,0,-0.71,0.93,73.2,1129.3,19.79,1.97,0.75,2808.37,0,1,0,0,101
111,TR,07:02.0,1063.96,10,P,225.05,-207.28,225.05,56.26,68.11,121.41,-5.92,71.07,-1.7,1.08,86.42,1156.64,19.78,0.69,2.49,2731.35,0,1,0,0,101
112,PE,07:02.2,1064.18,,,210.25,-201.36,216.17,47.38,74.03,115.49,-85.87,91.8,-0.74,0.94,84.77,1074.61,19.79,0.38,2.91,2725.06,0,1,0,0,101
113,TR,07:02.5,1064.46,10,V,207.28,-207.28,233.93,53.3,97.72,139.18,-23.69,165.83,-0.73,0.93,84.21,1156.64,19.79,-0.23,3.12,2704.63,0,1,0,0,101
114,TR,07:02.5,1064.49,10,P,222.09,-216.17,236.9,62.19,68.11,142.14,47.38,139.18,-1.51,1.1,84.21,1156.64,19.79,-0.43,2.97,2707.77,0,1,0,0,101
115,TR,07:02.5,1064.54,10,V,210.25,-195.44,219.13,65.15,100.68,145.1,-56.26,115.49,-0.49,0.94,84.21,1156.64,19.79,-0.61,3.12,2699.91,0,1,0,0,101
116,TR,07:02.9,1064.89,10,P,201.36,-216.17,233.93,82.91,100.68,156.94,-112.53,38.5,-1.51,1.1,86.42,1211.33,19.79,-0.97,2.76,2704.63,0,1,0,0,101
117,TR,07:02.9,1064.91,10,V,201.36,-201.36,228.01,76.99,109.56,156.94,-82.91,53.3,-0.79,0.99,87.52,1156.64,19.77,-0.97,2.64,2707.77,0,1,0,0,101
118,TR,07:03.0,1064.96,10,P,201.36,-213.21,233.93,50.34,53.3,153.98,-62.19,26.65,-1.45,1.1,86.42,1074.61,19.77,-1.05,2.37,2707.77,0,1,0,0,101
119,TR,07:03.1,1065.06,10,V,210.25,-192.48,216.17,68.11,97.72,174.71,-41.46,-11.84,-0.63,0.96,87.52,1156.64,19.78,-1.28,1.77,2710.92,0,1,0,0,101
120,TR,07:03.1,1065.11,10,P,213.21,-213.21,233.93,68.11,74.03,180.63,-94.76,-38.5,-1.04,1.1,83.11,1238.67,19.79,-1.38,1.38,2706.2,0,1,0,0,101
121,TR,07:03.3,1065.29,10,V,192.48,-168.79,198.4,62.19,100.68,159.9,-88.84,-65.15,-0.45,0.93,78.16,1183.98,19.79,-1.94,0.21,2726.64,0,1,0,0,101
122,TR,07:03.3,1065.34,10,P,210.25,-192.48,216.17,62.19,59.22,183.59,-100.68,-76.99,-1.2,1.1,84.77,1156.64,19.79,-2.07,-0.03,2729.78,0,1,0,0,101
123,TR,07:03.4,1065.36,10,V,198.4,-183.59,216.17,59.22,100.68,195.44,-88.84,-65.15,-0.78,0.97,86.69,1293.36,19.79,-2.15,0,2732.92,0,1,0,0,101
124,TR,07:03.4,1065.41,10,P,210.25,-201.36,228.01,74.03,68.11,186.56,-91.8,-71.07,-1.06,1.15,86.69,1211.33,19.77,-2.12,-0.03,2736.07,0,1,0,0,101
125,TR,07:03.4,1065.44,10,V,207.28,-189.52,210.25,68.11,100.68,189.52,-100.68,-100.68,-0.39,0.97,88.62,1183.98,19.81,-2.1,-0.03,2737.64,0,1,0,0,101
126,TR,07:03.5,1065.49,10,P,213.21,-189.52,216.17,62.19,74.03,177.67,-91.8,-76.99,-1.09,1.1,89.72,1238.67,19.79,-2.17,0.06,2745.5,0,1,0,0,101
127,TR,07:03.5,1065.51,10,V,204.32,-180.63,207.28,68.11,100.68,180.63,-85.87,-62.19,-0.43,0.93,90,1211.33,19.79,-2.2,0.06,2748.64,0,1,0,0,101
128,TR,07:03.6,1065.56,10,P,210.25,-201.36,219.13,71.07,65.15,183.59,-79.95,-121.41,-1.06,1.07,90,1183.98,19.77,-2.15,0,2756.5,0,1,0,0,101
129,TR,07:03.6,1065.59,10,V,198.4,-189.52,222.09,76.99,103.64,180.63,-82.91,-115.49,0,0.92,90.82,1211.33,19.79,-2.17,0.03,2764.36,0,1,0,0,101
130,TR,07:03.6,1065.64,10,P,213.21,-189.52,222.09,74.03,88.84,162.87,-85.87,-91.8,-1.21,1.06,89.17,1183.98,19.81,-2.1,0.12,2769.08,0,1,0,0,101
131,TR,07:03.7,1065.74,10,V,222.09,-195.44,219.13,97.72,127.33,201.36,-50.34,-76.99,0.07,0.9,88.62,1211.33,19.79,-2.25,-0.03,2794.23,0,1,0,0,101
132,TR,07:03.8,1065.79,10,P,222.09,-213.21,233.93,97.72,106.6,180.63,-32.57,-103.64,-1.12,1.04,88.62,1183.98,19.79,-2.25,-0.12,2802.09,0,1,0,0,101
133,TR,07:03.8,1065.81,10,V,216.17,-195.44,228.01,82.91,112.53,177.67,-65.15,-94.76,-0.2,0.89,89.17,1320.7,19.79,-2.25,-0.15,2805.23,0,1,0,0,101
134,TR,07:03.9,1065.86,10,P,198.4,-195.44,222.09,71.07,76.99,171.75,-112.53,-59.22,-0.96,1.02,84.77,1183.98,19.79,-2.25,-0.12,2808.37,0,1,0,0,101
135,TR,07:03.9,1065.89,10,V,195.44,-174.71,201.36,68.11,97.72,180.63,-85.87,-62.19,0.1,0.89,90,1183.98,19.79,-2.2,-0.12,2809.94,0,1,0,0,101
136,TR,07:03.9,1065.94,10,P,192.48,-171.75,204.32,59.22,82.91,177.67,-65.15,-82.91,-0.95,1.01,84.77,1074.61,19.79,-2.2,-0.12,2819.38,0,1,0,0,101
137,TR,07:04.0,1065.96,10,V,192.48,-165.83,198.4,50.34,85.87,174.71,-71.07,-68.11,-0.05,0.89,87.79,1074.61,19.79,-2.15,-0.12,2814.66,0,1,0,0,101
138,TR,07:04.0,1065.99,10,P,204.32,-189.52,216.17,53.3,50.34,171.75,-118.45,-71.07,-0.65,1.1,90,1074.61,19.79,-2.1,-0.06,2816.23,0,1,0,0,101
